respondent_id,submission_time,duration_seconds,age_group,gender,emirate,nationality,income,occupation,formal_attire_freq,occasions,accessories_purchased,purchase_freq,buy_location,shopping_channel,spend_tie,spend_socks,main_influence,imp_fabric_quality,imp_design,imp_pricing,imp_brand_rep,imp_comfort,imp_durability,imp_variety,imp_sustainability,brands_purchased,loyalty_factor,willing_try_new,convince_try,purchase_likelihood_6m,saturn_consideration,most_important_feature
R3769,2025-02-18 05:47,420,55+,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Parties; Religious Events; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Belts,Once a year,Brand Website,Physical Store,AED 50–100,AED 51–75,Design,4,4,5,4,5,3,4,5,Zara; Massimo Dutti,Quality,Probably,Premium Quality; Social Media Reviews; Luxury Packaging,Neutral,Not Sure,Strong brand reputation
R1971,2025-02-11 11:37,316,18–24,Male,Dubai,South Asian,"Under 5,000",Private Employee,Occasionally,Business Meetings,Handkerchiefs,Once a year,Online Marketplace,No Preference,AED 201–300,Under AED 25,Fabric Quality,2,3,3,5,5,3,3,5,Zara,Price,Probably Not,Introductory Discounts; Word of Mouth,Very Unlikely,Definitely Would Not,Affordable pricing
R1676,2025-03-18 16:26,334,45–54,Male,abu dhabi,Emirati,"10,001–20,000",Private Employee,Daily,Office; Business Meetings,Ties; Pocket Squares; Dress Socks; Handkerchiefs,Every 6 months,Department Store,Physical Store,AED 201–300,Under AED 25,Fabric Quality,4,4,5,5,5,5,5,3,Zara; H&M; Hugo Boss; Brooks Brothers,Quality,Definitely,Introductory Discounts; Premium Quality; Money-back Guarantee,Very Likely,Definitely Would,Luxury packaging
R3285,2025-02-01 07:54,483,18–24,Male,Dubai,South Asian,"5,000–10,000",Private Employee,Occasionally,Office; Parties,Belts,Once a year,Online Marketplace,Online,AED 50–100,AED 51–75,Design,5,4,3,4,4,3,2,3,Zara; Massimo Dutti,Quality,Definitely,Social Media Reviews; Word of Mouth,Neutral,Not Sure,Luxury packaging
R3570,2025-03-01 12:28,447,Under 18,Male,Abu Dhabi,European,"Under 5,000",Other,Occasionally,Weddings; Parties; Religious Events,Ties; Dress Socks,Only when needed,Shopping Mall,Physical Store,Under AED 50,Under AED 25,Design,3,2,5,2,4,4,1,1,H&M; Massimo Dutti,Price,Not Sure,Introductory Discounts; Influencer Recommendations; Luxury Packaging,Unlikely,Probably Would Not,Luxury packaging
R3259,2025-03-28 23:15,347,25–34,Male,Abu Dhabi,South Asian,"Under 5,000",Student,Rarely,Parties,Dress Socks,Monthly,Shopping Mall,Physical Store,AED 101–200,Under AED 25,Design,4,5,3,,4,3,3,3,Other,Price,Probably,Social Media Reviews; Influencer Recommendations; Luxury Packaging,Unlikely,Probably Would Not,Unique and elegant designs
R2766,2025-03-14 19:32,508,55+,Male,Sharjah,South Asian,"Above 35,000",Business Owner,Once a week,Office; Weddings; Business Meetings; Parties,Ties; Dress Socks; Handkerchiefs; Belts,Every 3 months,Brand Website,Physical Store,AED 101–200,Above AED 75,Durability,5,4,5,4,4,5,5,4,H&M; Massimo Dutti; Brooks Brothers,Price,Definitely,Premium Quality; Luxury Packaging; Money-back Guarantee,Very Likely,Definitely Would,Sustainable materials
R2702,2025-02-11 11:07,362,25–34,Male,Abu Dhabi,South Asian,"10,001–20,000",Private Employee,Rarely,Business Meetings,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Every 6 months,Shopping Mall,No Preference,AED 50–100,AED 25–50,Fabric Quality,5,4,3,4,4,5,3,1,Zara; H&M; Brooks Brothers,Price,Not Sure,Premium Quality; Social Media Reviews,Unlikely,Probably Would Not,Affordable pricing
R2748,2025-03-10 06:10,335,25–34,Female,Dubai,Arab Expat,"10,001–20,000",Private Employee,Daily,Office; Weddings; Business Meetings; Parties,Dress Socks; Cufflinks,Every 6 months,Brand Store,No Preference,AED 50–100,Under AED 25,Fabric Quality,3,2,5,4,5,3,2,2,Massimo Dutti; Charles Tyrwhitt,Customer Service,Probably,Premium Quality; Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Premium fabric quality
R2892,2025-03-01 09:28,17,35–44,Male,Dubai,GCC,"Under 5,000",Student,Occasionally,Weddings; Parties; Religious Events,Belts,Every 6 months,Online Marketplace,Physical Store,Under AED 50,AED 25–50,Price,1,4,3,3,4,3,4,two,H&M; Charles Tyrwhitt,Price,Not Sure,Introductory Discounts; Influencer Recommendations; Money-back Guarantee,Unlikely,Probably Would Not,Strong brand reputation
R1760,2025-03-29 11:53,201,35–44,Prefer not to say,Dubai,GCC,"5,000–10,000",Self-employed,Rarely,Never,Pocket Squares,Only when needed,Shopping Mall,Online,AED 50–100,Under AED 25,Design,4,5,3,2,3,2,2,2,H&M; Hugo Boss; Brooks Brothers,Quality,Probably,Social Media Reviews; Influencer Recommendations,Likely,Probably Would,Fast and reliable delivery
R2506,2025-03-14 16:18,379,35–44,Male,Fujairah,Emirati,"Under 5,000",Private Employee,Daily,Office,Ties; Dress Socks; Belts,Once a year,Department Store,Physical Store,AED 101–200,Under AED 25,Price,5,4,5,3,4,2,4,4,Zara; Massimo Dutti; Hugo Boss,Product Variety,Definitely,Introductory Discounts; Premium Quality,Neutral,Not Sure,Fast and reliable delivery
R1358,2025-02-13 10:15,254,25–34,Male,Abu Dhabi,Emirati,"Under 5,000",Student,Rarely,Weddings,Ties,Every 3 months,Department Store,No Preference,AED 101–200,AED 51–75,Fabric Quality,2,3,2,-1,5,2,6,1,H&M,Product Variety,Probably,Introductory Discounts; Money-back Guarantee,Unlikely,Probably Would Not,Unique and elegant designs
R2279,2025-03-03 16:58,417,35–44,Male,Sharjah,Other,"Above 35,000",Government Employee,Occasionally,Office; Weddings; Business Meetings; Parties,Ties; Cufflinks; Belts,Every 6 months,Shopping Mall,Online,Under AED 50,AED 25–50,Durability,5,5,3,5,5,4,3,4,Hugo Boss,Quality,Definitely,Introductory Discounts; Influencer Recommendations; Word of Mouth,Likely,Probably Would,Fast and reliable delivery
R3891,2025-02-17 22:22,622,55+,Male,Sharjah,South Asian,"5,000–10,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Religious Events,Belts,Only when needed,Brand Store,No Preference,AED 50–100,Under AED 25,Brand Reputation,3,5,2,3,3,4,5,2,H&M; Hugo Boss,Design,Probably,Introductory Discounts,Unlikely,Not Sure,Comfort and fit
R2123,2025-04-01 09:37,417,25–34,Male,Ajman,South Asian,"20,001–35,000",Other,Rarely,Office; Weddings,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 3 months,Brand Store,No Preference,AED 50–100,Above AED 75,Durability,2,3,3,5,4,3,3,4,Charles Tyrwhitt,Design,Probably,Social Media Reviews; Word of Mouth,Unlikely,Not Sure,Sustainable materials
R1798,2025-03-02 06:38,387,35–44,Male,Abu Dhabi,South Asian,"20,001–35,000",Government Employee,Daily,Office; Weddings; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Every 6 months,Shopping Mall,Online,AED 50–100,Under AED 25,Brand Reputation,5,5,3,5,5,5,3,3,Charles Tyrwhitt,Quality,Definitely,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Very Likely,Definitely Would,Unique and elegant designs
R2772,2025-03-30 22:04,400,35–44,Male,Dubai,Arab Expat,"Above 35,000",Business Owner,3–5 times/week,Office; Business Meetings; Religious Events; Formal Dinners,Ties; Pocket Squares; Cufflinks,Every 3 months,Shopping Mall,Online,Above AED 300,AED 51–75,Design,4,5,4,4,4,4,4,3,Other,Price,Definitely,Introductory Discounts; Premium Quality,Likely,Definitely Would,Local UAE identity
R2989,2025-02-13 22:54,284,18–24,Male,Sharjah,GCC,"Under 5,000",Private Employee,Once a week,Weddings; Business Meetings; Parties,None,Only when needed,Online Marketplace,No Preference,Under AED 50,Under AED 25,Price,4,2,2,3,3,4,3,3,Other,Price,Probably,Introductory Discounts; Premium Quality; Word of Mouth,Unlikely,Probably Would Not,Comfort and fit
R1672,2025-02-07 12:55,613,55+,Male,Abu Dhabi,African,"10,001–20,000",Private Employee,3–5 times/week,Office; Weddings; Business Meetings; Religious Events; Formal Dinners,Ties; Dress Socks; Handkerchiefs,Every 3 months,Shopping Mall,Physical Store,AED 101–200,AED 25–50,Brand Reputation,5,4,4,5,5,5,4,5,Charles Tyrwhitt,Customer Service,Not Sure,Premium Quality; Luxury Packaging; Money-back Guarantee,Neutral,Not Sure,asdasd
R3688,2025-03-23 21:09,440,25–34,Male,Dubai,Emirati,"10,001–20,000",Self-employed,Occasionally,Office; Weddings; Parties; Formal Dinners,Belts,Monthly,Brand Website,Physical Store,Under AED 50,AED 25–50,Comfort,3,3,4,3,4,2,2,3,Other,Quality,Probably,Premium Quality; Social Media Reviews; Luxury Packaging,Unlikely,Probably Would Not,Sustainable materials
R3707,2025-02-03 05:22,530,25–34,Female,Dubai,South Asian,"5,000–10,000",Private Employee,Occasionally,Weddings,None,Only when needed,Online Marketplace,Online,AED 50–100,Above AED 75,Fabric Quality,3,3,2,4,3,4,3,2,Zara; Massimo Dutti; Brooks Brothers,Price,Probably Not,Social Media Reviews; Influencer Recommendations; Money-back Guarantee,Very Unlikely,Definitely Would Not,Luxury packaging
