column,type
respondent_id,metadata
submission_time,metadata
duration_seconds,metadata
age_group,categorical
gender,categorical
emirate,categorical
nationality,categorical
income,categorical
occupation,categorical
formal_attire_freq,categorical
occasions,categorical
accessories_purchased,categorical
purchase_freq,categorical
buy_location,categorical
shopping_channel,categorical
spend_tie,categorical
spend_socks,categorical
main_influence,categorical
imp_fabric_quality,likert_1_5
imp_design,likert_1_5
imp_pricing,likert_1_5
imp_brand_rep,likert_1_5
imp_comfort,likert_1_5
imp_durability,likert_1_5
imp_variety,likert_1_5
imp_sustainability,likert_1_5
brands_purchased,multiselect
loyalty_factor,categorical
willing_try_new,categorical
convince_try,multiselect
purchase_likelihood_6m,categorical
saturn_consideration,categorical
most_important_feature,open_ended
